trending_date,unique_channels,total_daily_views,top_channel_views,bottom_channel_views,view_concentration,top1_share_pct,monopoly_flag,is_high_monopoly
2018-03-21,10,276682502,72206357,7714606,9.4,26.1,Moderate,0
2018-03-22,10,290886795,75697961,7286159,10.4,26,Moderate,0
2018-03-23,10,306139905,79333122,9391723,8.4,25.9,Moderate,0
2018-03-24,10,319317260,83119299,9572037,8.7,26,Moderate,0
2018-03-25,10,274337424,87264467,5977291,14.6,31.8,Moderate,0
2018-03-26,10,199634847,69089210,6088065,11.3,34.6,Moderate,0
2018-03-27,10,205374806,71560694,6215935,11.5,34.8,Moderate,0
2018-03-28,10,122663239,51748905,5080694,10.2,42.2,High Monopoly,1
2018-03-29,10,131431026,52404970,5132146,10.2,39.9,Moderate,0
2018-03-30,10,86115462,17433516,5125453,3.4,20.2,Diverse,0
2018-03-31,10,90956755,18858879,5207548,3.6,20.7,Diverse,0
2018-04-01,10,98575013,19802960,6187534,3.2,20.1,Diverse,0
2018-04-02,10,99398674,20462695,6459931,3.2,20.6,Diverse,0
2018-04-03,10,108800538,20946564,7160691,2.9,19.3,Diverse,0
2018-04-04,10,114106945,21315811,7799203,2.7,18.7,Diverse,0
2018-04-05,10,119156521,21667619,8370988,2.6,18.2,Diverse,0
2018-04-06,10,123632479,21966117,8556235,2.6,17.8,Diverse,0
2018-04-07,10,127305485,22233274,8247001,2.7,17.5,Diverse,0
2018-04-14,10,190345033,38873543,11806464,3.3,20.4,Diverse,0
2018-04-15,10,204240252,42254055,13319878,3.2,20.7,Diverse,0
2018-04-16,10,229962778,45023440,14935646,3,19.6,Diverse,0
2018-04-17,10,235953140,47670772,15582864,3.1,20.2,Diverse,0
2018-04-18,10,252676802,50247353,16374073,3.1,19.9,Diverse,0
2018-04-19,10,269335518,52556278,16715189,3.1,19.5,Diverse,0
2018-04-20,10,285992183,54540167,16993131,3.2,19.1,Diverse,0
2018-04-21,10,276330833,56873730,15873034,3.6,20.6,Diverse,0
2018-04-22,10,303017960,59326481,17624672,3.4,19.6,Diverse,0
2018-04-23,10,327428938,61394095,17907374,3.4,18.8,Diverse,0
2018-04-24,10,353843755,63341107,18002074,3.5,17.9,Diverse,0
2018-04-25,10,363665562,65445707,18063228,3.6,18,Diverse,0
2018-04-26,10,406261796,67478328,18109158,3.7,16.6,Diverse,0
2018-04-27,10,437825376,69295519,18143363,3.8,15.8,Diverse,0
2018-04-28,10,367171552,61920752,16816300,3.7,16.9,Diverse,0
2018-04-29,10,391978559,68423325,17399806,3.9,17.5,Diverse,0
2018-04-30,10,409551892,74523616,15324141,4.9,18.2,Diverse,0
2018-05-01,10,398457986,78708034,14998964,5.2,19.8,Diverse,0
2018-05-02,10,348134296,83683647,13802611,6.1,24,Diverse,0
2018-05-03,10,366605544,89067764,14951751,6,24.3,Diverse,0
2018-05-04,10,383530403,95093335,14815847,6.4,24.8,Diverse,0
2018-05-05,10,404682457,101386547,15906260,6.4,25.1,Moderate,0
2018-05-06,10,427876981,107576105,16773458,6.4,25.1,Moderate,0
2018-05-07,10,447661960,112904452,17333594,6.5,25.2,Moderate,0
2018-05-08,10,476501966,117735467,17698820,6.7,24.7,Diverse,0
2018-05-09,10,511433310,122581156,19371315,6.3,24,Diverse,0
2018-05-10,10,346226246,60776509,18230175,3.3,17.6,Diverse,0
2018-05-11,10,374791003,73432600,18445345,4,19.6,Diverse,0
2018-05-12,10,370779013,85092067,17611184,4.8,22.9,Diverse,0
2018-05-13,10,358787253,98938809,15897818,6.2,27.6,Moderate,0
2018-05-14,10,548997085,148689896,22918328,6.5,27.1,Moderate,0
2018-05-15,10,482208499,139334502,15960127,8.7,28.9,Moderate,0
2018-05-16,10,358078187,126191952,13733911,9.2,35.2,Moderate,0
2018-05-17,10,359909013,134839555,12675289,10.6,37.5,Moderate,0
2018-05-18,10,379572842,142421830,14223023,10,37.5,Moderate,0
2018-05-19,10,430641078,149830680,17323432,8.6,34.8,Moderate,0
2018-05-20,10,475524990,156612892,17567535,8.9,32.9,Moderate,0
2018-05-21,10,475950081,162556776,17795478,9.1,34.2,Moderate,0
2018-05-22,10,501913499,167997997,18638967,9,33.5,Moderate,0
2018-05-23,10,528710840,173478072,19721487,8.8,32.8,Moderate,0
2018-05-24,10,537920499,179045286,15791110,11.3,33.3,Moderate,0
2018-05-25,10,562078058,184446490,17023711,10.8,32.8,Moderate,0
2018-05-26,10,530514144,190950401,15665631,12.2,36,Moderate,0
2018-05-27,10,472207928,196222618,14632232,13.4,41.6,High Monopoly,1
2018-05-28,10,555653953,200820941,15323251,13.1,36.1,Moderate,0
2018-05-29,10,584149317,205643016,15973068,12.9,35.2,Moderate,0
2018-05-30,10,516769822,210338856,16048699,13.1,40.7,High Monopoly,1
2018-05-31,10,543493308,217750076,17259071,12.6,40.1,High Monopoly,1
2018-06-01,10,561972946,220490543,17594668,12.5,39.2,Moderate,0
2018-06-02,10,452904304,225211923,17937505,12.6,49.7,High Monopoly,1
2018-06-03,10,270183717,44539222,18451559,2.4,16.5,Diverse,0
2018-06-04,10,292308530,46284833,18934115,2.4,15.8,Diverse,0
2018-06-05,10,313025692,48619426,19522248,2.5,15.5,Diverse,0
2018-06-06,10,338020557,54680032,20170806,2.7,16.2,Diverse,0
2018-06-07,10,355496688,59402059,20928215,2.8,16.7,Diverse,0
2018-06-08,10,380515234,65149069,21524828,3,17.1,Diverse,0
2018-06-09,10,400848062,70717211,21173273,3.3,17.6,Diverse,0
2018-06-10,10,343726420,78580312,21700755,3.6,22.9,Diverse,0
2018-06-11,10,349244528,80606384,21888035,3.7,23.1,Diverse,0
2018-06-12,10,360924455,85159766,20771856,4.1,23.6,Diverse,0
2018-06-13,10,374429423,89740876,21915398,4.1,24,Diverse,0
2018-06-14,10,387501480,94254507,22713067,4.1,24.3,Diverse,0
